1,5040,Withdraw,1875.60,2025-01-24 18:48:18.053,NULL,Auto-Generated Withdrawal
5,5058,Withdraw,8946.45,2025-06-15 18:48:18.103,NULL,Auto-Generated Withdrawal
7,5094,Deposit,7633.40,2025-06-27 18:48:18.107,NULL,Auto-Generated Deposit
8,5023,Withdraw,8539.57,2025-01-26 18:48:18.110,NULL,Auto-Generated Withdrawal
9,5023,Withdraw,8174.37,2025-06-21 18:48:18.113,NULL,Auto-Generated Withdrawal
12,5166,Deposit,992.19,2025-03-18 18:48:18.120,NULL,Auto-Generated Deposit
15,5049,Deposit,7308.94,2025-01-30 18:48:18.130,NULL,Auto-Generated Deposit
16,5023,Deposit,333.64,2025-05-29 18:48:18.133,NULL,Auto-Generated Deposit
17,5095,Deposit,7633.49,2025-07-16 18:48:18.133,NULL,Auto-Generated Deposit
18,5139,Withdraw,4792.25,2025-06-04 18:48:18.133,NULL,Auto-Generated Withdrawal
19,5153,Deposit,6998.15,2025-05-16 18:48:18.137,NULL,Auto-Generated Deposit
20,5090,Withdraw,2463.74,2025-07-17 18:48:18.137,NULL,Auto-Generated Withdrawal
21,5073,Deposit,9627.33,2025-06-18 18:48:18.257,NULL,Auto-Generated Deposit
22,5011,Withdraw,1207.64,2025-06-26 18:48:18.260,NULL,Auto-Generated Withdrawal
23,5124,Deposit,3880.08,2025-02-19 18:48:18.260,NULL,Auto-Generated Deposit
25,5058,Withdraw,8807.78,2025-03-13 18:48:18.260,NULL,Auto-Generated Withdrawal
26,5023,Withdraw,9449.00,2025-02-04 18:48:18.263,NULL,Auto-Generated Withdrawal
29,5065,Withdraw,6995.62,2025-07-13 18:48:18.263,NULL,Auto-Generated Withdrawal
30,5096,Withdraw,5891.48,2025-06-26 18:48:18.263,NULL,Auto-Generated Withdrawal
32,5065,Deposit,2482.20,2025-07-21 18:48:18.280,NULL,Auto-Generated Deposit
33,5070,Deposit,4290.33,2025-06-13 18:48:18.283,NULL,Auto-Generated Deposit
34,5006,Deposit,7087.98,2025-06-24 18:48:18.283,NULL,Auto-Generated Deposit
35,5060,Withdraw,5102.66,2025-04-30 18:48:18.283,NULL,Auto-Generated Withdrawal
36,5103,Withdraw,2662.21,2025-02-01 18:48:18.287,NULL,Auto-Generated Withdrawal
37,5018,Deposit,4073.76,2025-07-16 18:48:18.287,NULL,Auto-Generated Deposit
38,5115,Withdraw,3421.53,2025-06-21 18:48:18.287,NULL,Auto-Generated Withdrawal
40,5133,Withdraw,1051.61,2025-04-23 18:48:18.290,NULL,Auto-Generated Withdrawal
41,5068,Withdraw,9408.58,2025-06-03 18:48:18.293,NULL,Auto-Generated Withdrawal
46,5030,Deposit,586.31,2025-06-12 18:48:18.337,NULL,Auto-Generated Deposit
47,5131,Withdraw,6918.00,2025-03-09 18:48:18.337,NULL,Auto-Generated Withdrawal
48,5053,Withdraw,512.77,2025-05-12 18:48:18.340,NULL,Auto-Generated Withdrawal
51,5060,Deposit,5238.19,2025-05-12 18:48:18.340,NULL,Auto-Generated Deposit
53,5122,Deposit,8254.05,2025-07-12 18:48:18.360,NULL,Auto-Generated Deposit
54,5030,Withdraw,4052.26,2025-03-25 18:48:18.360,NULL,Auto-Generated Withdrawal
56,5165,Withdraw,6958.98,2025-05-23 18:48:18.363,NULL,Auto-Generated Withdrawal
57,5065,Deposit,4922.81,2025-06-18 18:48:18.363,NULL,Auto-Generated Deposit
59,5085,Deposit,8653.98,2025-06-27 18:48:18.367,NULL,Auto-Generated Deposit
60,5103,Withdraw,3333.54,2025-03-10 18:48:18.367,NULL,Auto-Generated Withdrawal
61,5094,Withdraw,9392.92,2025-03-21 18:48:18.370,NULL,Auto-Generated Withdrawal
62,5090,Deposit,9059.23,2025-05-09 18:48:18.370,NULL,Auto-Generated Deposit
